Best Fitness: 12301.1
Epidemic Profile
NA-->V0 	[0  -8  ]:	1	4	20	60	107	51	6	3	
V0 ->V1 	[4  -15 ]:					1	1	4	13	49	75	20	21	22	14	1	
V1 ->V2 	[5  -15 ]:						1	1	4	23	67	62	71	16	2	1	
V2 ->V3 	[9  -22 ]:										1	1	3	15	52	64	15	7	10	9	2	1	1	
V2 ->V4 	[10 -23 ]:											1	1	5	16	48	42	28	16	17	8	5	4	3	
V2 ->V5 	[10 -23 ]:											1	1	1	4	18	40	88	67	40	20	5	7	2	
V1 ->V6 	[12 -14 ]:													1	1	
V4 ->V7 	[13 -25 ]:														1	1	1	5	13	39	88	82	48	18	5	2	
V4 ->V8 	[14 -16 ]:															1	1	
V5 ->V9 	[15 -17 ]:																1	1	
V5 ->V10	[16 -31 ]:																	1	1	1	6	15	37	90	84	40	10	5	4	8	9	3	
V4 ->V11	[16 -18 ]:																	1	1	
V5 ->V12	[16 -18 ]:																	1	1	
V7 ->V13	[19 -22 ]:																				1	1	1	
V5 ->V14	[19 -36 ]:																				1	1	3	2	2	7	8	4	5	13	33	36	17	9	5	5	1	
V4 ->V15	[20 -24 ]:																					1	1	2	1	
V10->V16	[20 -39 ]:																					1	1	4	20	57	108	100	72	60	75	85	98	111	95	102	56	23	5	1	
V10->V17	[21 -25 ]:																						1	1	1	1	
V16->V18	[23 -25 ]:																								1	1	
V16->V19	[31 -44 ]:																																1	1	5	23	50	94	81	42	11	1	1	1	1	
V19->V20	[34 -36 ]:																																			1	1	
V16->V21	[34 -45 ]:																																			1	1	9	27	65	69	22	6	4	8	3	
V16->V22	[34 -36 ]:																																			1	1	
V19->V23	[35 -37 ]:																																				1	1	
V19->V24	[35 -45 ]:																																				1	1	4	17	43	101	111	93	54	20	
V16->V25	[35 -37 ]:																																				1	1	
V19->V26	[37 -40 ]:																																						1	1	1	
V21->V27	[37 -39 ]:																																						1	1	
V21->V28	[38 -41 ]:																																							1	1	1	
V24->V29	[39 -51 ]:																																								1	1	3	14	45	105	100	114	95	103	46	5	
V24->V30	[40 -42 ]:																																									1	1	
V24->V31	[41 -45 ]:																																										1	1	1	1	
V29->V32	[42 -45 ]:																																											1	1	2	
V29->V33	[43 -50 ]:																																												1	1	3	4	5	3	1	
V29->V34	[43 -46 ]:																																												1	1	1	
V29->V35	[45 -63 ]:																																														1	1	3	24	72	125	114	118	122	115	131	119	124	94	85	23	3	1	
V29->V36	[46 -48 ]:																																															1	1	
V35->V37	[49 -54 ]:																																																		1	1	1	1	2	
V35->V38	[55 -130]:																																																								1	1	4	14	45	92	120	107	99	134	106	132	104	120	102	120	99	116	102	113	104	103	96	106	89	90	77	69	65	60	55	49	45	48	48	47	41	46	38	33	32	30	29	30	38	44	29	38	32	37	31	34	34	43	34	38	33	35	28	33	26	28	26	36	23	29	19	22	19	21	21	18	18	21	16	
V38->V39	[61 -63 ]:																																																														1	1	
V38->V40	[63 -65 ]:																																																																1	1	
V38->V41	[64 -130]:																																																																	1	1	3	4	6	7	11	10	15	12	14	10	13	16	13	12	22	28	40	45	54	58	71	68	72	60	68	64	70	65	80	72	84	80	92	67	86	73	90	75	90	80	93	79	83	80	88	78	92	79	81	69	77	68	74	76	88	74	89	83	96	83	96	74	86	81	
V38->V42	[65 -68 ]:																																																																		1	1	1	
V38->V43	[66 -130]:																																																																			1	1	1	3	5	4	2	4	2	4	4	4	5	8	8	11	12	13	11	8	8	9	9	11	10	8	8	11	8	9	8	6	4	3	5	1	3	2	3	3	4	3	3	4	3	4	3	5	3	5	6	5	5	3	3	5	4	2	3	1	4	5	4	3	
V38->V44	[66 -68 ]:																																																																			1	1	
V41->V45	[67 -69 ]:																																																																				1	1	
V38->V46	[76 -86 ]:																																																																													1	1	2	2	3	4	4	4	2	2	
V38->V47	[76 -78 ]:																																																																													1	1	
V38->V48	[77 -81 ]:																																																																														1	1	1	1	
V38->V49	[77 -79 ]:																																																																														1	1	
V38->V50	[79 -81 ]:																																																																																1	1	
V38->V51	[80 -82 ]:																																																																																	1	1	
V38->V52	[81 -83 ]:																																																																																		1	1	
V38->V53	[85 -87 ]:																																																																																						1	1	
V41->V54	[86 -88 ]:																																																																																							1	1	
V41->V55	[88 -93 ]:																																																																																									1	1	3	2	3	
V38->V56	[89 -100]:																																																																																										1	1	4	3	5	4	5	2	5	2	1	
V41->V57	[89 -92 ]:																																																																																										1	1	1	
V41->V58	[90 -92 ]:																																																																																											1	1	
V38->V59	[90 -92 ]:																																																																																											1	1	
V38->V60	[92 -95 ]:																																																																																													1	1	1	
V43->V61	[94 -97 ]:																																																																																															1	1	1	
V41->V62	[97 -109]:																																																																																																		1	1	2	4	5	5	4	2	1	1	1	1	
V41->V63	[98 -100]:																																																																																																			1	1	
V38->V64	[99 -101]:																																																																																																				1	1	
V41->V65	[99 -103]:																																																																																																				1	1	3	5	
V38->V66	[99 -101]:																																																																																																				1	1	
V38->V67	[103-105]:																																																																																																								1	1	
V38->V68	[103-105]:																																																																																																								1	1	
V41->V69	[103-105]:																																																																																																								1	1	
V41->V70	[104-106]:																																																																																																									1	1	
V38->V71	[105-107]:																																																																																																										1	1	
V41->V72	[106-109]:																																																																																																											1	1	2	
V41->V73	[106-110]:																																																																																																											1	1	2	1	
V41->V74	[110-112]:																																																																																																															1	1	
V41->V75	[111-130]:																																																																																																																1	1	5	12	20	24	18	19	14	18	14	19	13	13	12	14	18	17	20	
V41->V76	[112-114]:																																																																																																																	1	1	
V41->V77	[117-119]:																																																																																																																						1	1	
V41->V78	[121-126]:																																																																																																																										1	1	1	1	1	
V41->V79	[121-123]:																																																																																																																										1	1	
V38->V80	[123-125]:																																																																																																																												1	1	
V75->V81	[127-130]:																																																																																																																																1	1	4	
V0	0.5       00000000000010000000000000001000100000000100000000000000000001001000000000000000000000000000000000010000001000000000000000000000
V1	0.586574  00000000000010000000000000001000101000000100110000000001000011001000100100100000000010010000000010010000001000000000010100000010
V2	0.614704  00110000000010100000000000001001101000000100110000000001000111001000000101100000000011011000000110010010001000010000010100000010
V3	0.666874  10100010010010100000010001101001101000000100110000000011000111001000000100101000000011011000000111011010001000001101110100000110
V4	0.681128  00110000000010100000000000001101101000000101110010000001010111001100000101100100100111011000000110010110101000010001010110001010
V5	0.681876  00110000000010100001100100001001001000000101110011000101000111101000000101100000010011011000001010010010001000000100010100000000
V6	0.65498   00000001000010000000001110000000101000000000110000001001100010001000110100100000000011010000010010010000001000000000011000000010
V7	0.701351  00010000100010100100000001111101100001000101110110000011010111001100000101000100100111011000000110010000100000010101010110000010
V8	0.639039  00110000000010100000000000001100111000001101111010000001010011001110010111100100100111011000001110010110101000110000000100001010
V9	0.638777  10010000000110100001100000001001001010010101100011101101000111101010010101100000110010011000001010110000001000000100011101110000
V10	0.765544  00110000100000100001100100001001101001000101011111100101000111101000001100100000010011111000001011010000001000101100110101000001
V11	0.627363  01111000000010100000000000101101101000000101010010010001110111001100000111010100100101011000001110000110101010011001010110001010
V12	0.675149  01111000000010100001100100000011001000000101110011000100000111101000000111110000010011010000101010000110000010010100010100001000
V13	0.619655  00110000100010100100000001101101100001000001100010100010010111001100000101100100100111011000001110010000100100010001011110101010
V14	0.769779  00110001100110100001110000001001000000000111110011000101000011100000000100100000010111010100001010010010111010000100010100000000
V15	0.592992  00110000000001100010000000001101100000000101110010000001010011001100000101100100110101111010000110001110101000010100010100001010
V16	0.77716   00010000100000100001101100001001101001100011011110100101010110101000011100000010000011110000001011011100001000100100110111000010
V17	0.67723   00010001100000100001100100000011101001000100001011100101000111101000001100101010010011111000001001010000011100101100110101000011
V18	0.731791  01110010010000100001101000001001001000100110011110100101000010101000011100000000001101110000011011011100001000100100110111000000
V19	0.780201  00010001001001101001101100011000111000101001011110100101011010101000011100001110000011100000001011111100000100100100110111010010
V20	0.716185  00010000001001001100101100011001111000101001001000100001011010101100011000000100000010000011001011111100000100100100110011010110
V21	0.813615  01010000100000101001001110011101101011010011011110000101010110111100110100000010100001110100001011011000001000100000111111000010
V22	0.77523   00010000100000100011111100001000110001100011011110110101110110101001011110100110000011100000000011011100001000100110110111000010
V23	0.743618  01010001001001101011101100011000101000101101011110100101011000101010011110001110000011100010011011011100000100011100110111110010
V24	0.864609  01000001000101111001101100001110111000101001111110100000011010100000011100001111000111100000001001111100000110100100101111010011
V25	0.763101  00010110101000100001101100001001111001100111111010100101010110101000011110000010001010110001011011011100001000100100110111110000
V26	0.727163  00010001001011101001100100011000100000111001011110100101111111100000011100101110000010110000001010111100001100100000111111010100
V27	0.805566  01010000100010101001010110011101001011010011011110100101011101101110110100000000100001110100101111111000001100100000111011100000
V28	0.863592  01010000100000101001001010011101101111010011110110000100010111111100010101000010100001101100001011111100001000001000111111000010
V29	0.92813   01000001000100111101101100101110111110101001101110100100011010100000011100000111000111110010001001111000000110100100100111010011
V30	0.784268  11000001000111111000001100001100111010110011111110100010011010110000001110001111000111100010001001111100000100110101101101010011
V31	0.841825  01011001000001111001101100001110101000101001111110100000011100110100010101001111000111100000101001111100110110100100101111010001
V32	0.885392  01001001000100111101101100101110011110111001101110001101111000100001011010000111100011100010001001111001000110100100100101010111
V33	0.872253  01000001000110011111000100101110011110101101101111100100011010100001011000000111000101010110001011000000000110100100100011010011
V34	0.904516  11000001000010111101001100101110111110101001001110100100101010100000001100000011010111110010001001111000000110100100100101011010
V35	0.97352   01000001000100111011101100100010111110101001100110100100011010110000011100010111000111010000101001111000000110100100100011111001
V36	0.902426  01000001000100111101101000101111101110100000101110100100011011000000011100000111101111110000101001111001011110100100100011100011
V37	0.87385   11100101000100111011101100000010101100001001100111100100011011110000011110010111010111010101101100011100000110100100100111111001
V38	1         01000001000100011011111000001010101010101001100110000100011010110000011100000111000111010000101011110101001110100101001011101001
