Best Fitness: 12438.3
Epidemic Profile
NA-->V0 	[0  -10 ]:	1	12	40	84	42	14	13	16	4	1	
V0 ->V1 	[1  -9  ]:		1	1	7	33	63	82	54	9	
V0 ->V2 	[3  -6  ]:				1	1	1	
V1 ->V3 	[5  -17 ]:						1	1	4	18	57	76	20	17	12	3	1	1	
V1 ->V4 	[6  -15 ]:							1	1	3	14	51	78	70	11	1	
V4 ->V5 	[9  -24 ]:										1	1	4	18	38	90	75	33	35	42	67	66	63	45	14	
V4 ->V6 	[10 -20 ]:											1	1	2	10	12	5	11	17	6	2	
V4 ->V7 	[11 -22 ]:												1	1	3	6	8	14	29	16	6	3	1	
V5 ->V8 	[13 -15 ]:														1	1	
V5 ->V9 	[13 -25 ]:														1	1	3	13	33	45	38	22	16	7	3	1	
V5 ->V10	[14 -18 ]:															1	1	2	1	
V6 ->V11	[14 -18 ]:															1	1	4	3	
V5 ->V12	[15 -26 ]:																1	1	2	6	13	20	30	33	37	9	2	
V6 ->V13	[16 -18 ]:																	1	1	
V5 ->V14	[19 -28 ]:																				1	1	6	21	59	72	28	5	1	
V12->V15	[20 -22 ]:																					1	1	
V14->V16	[21 -28 ]:																						1	1	6	28	61	38	1	
V14->V17	[22 -25 ]:																							1	1	3	
V14->V18	[22 -35 ]:																							1	1	8	30	76	87	48	7	6	10	18	12	3	
V16->V19	[24 -26 ]:																									1	1	
V16->V20	[24 -36 ]:																									1	1	8	26	75	113	103	80	93	73	46	4	
V16->V21	[24 -26 ]:																									1	1	
V18->V22	[27 -29 ]:																												1	1	
V20->V23	[30 -40 ]:																															1	1	5	30	85	110	119	82	49	6	
V20->V24	[32 -34 ]:																																	1	1	
V23->V25	[34 -114]:																																			1	1	4	24	84	109	126	115	124	121	116	117	104	106	91	112	123	112	121	114	121	115	121	120	110	101	92	78	79	71	71	44	55	56	53	52	38	41	42	43	47	57	61	48	46	31	26	18	17	18	23	21	24	18	9	11	14	9	11	12	12	11	7	8	6	6	9	15	12	12	6	5	5	5	7	8	9	8	5	2	
V23->V26	[34 -38 ]:																																			1	1	1	1	
V23->V27	[34 -37 ]:																																			1	1	1	
V23->V28	[35 -37 ]:																																				1	1	
V25->V29	[38 -40 ]:																																							1	1	
V25->V30	[38 -42 ]:																																							1	1	1	1	
V25->V31	[38 -40 ]:																																							1	1	
V25->V32	[39 -41 ]:																																								1	1	
V25->V33	[39 -41 ]:																																								1	1	
V25->V34	[40 -42 ]:																																									1	1	
V32->V35	[40 -42 ]:																																									1	1	
V25->V36	[42 -45 ]:																																											1	1	1	
V25->V37	[44 -49 ]:																																													1	1	1	1	1	
V25->V38	[48 -51 ]:																																																	1	1	1	
V25->V39	[48 -51 ]:																																																	1	1	2	
V25->V40	[51 -54 ]:																																																				1	1	2	
V25->V41	[52 -130]:																																																					1	1	3	6	4	1	14	16	29	39	42	35	54	59	58	62	56	75	72	72	64	65	52	51	45	58	60	67	75	71	70	65	74	63	71	47	61	43	50	35	39	30	42	34	47	40	49	40	39	29	29	34	33	25	24	20	21	17	21	23	26	24	24	26	24	28	30	39	48	50	54	50	54	50	48	46	49	51	
V25->V42	[52 -56 ]:																																																					1	1	1	1	
V25->V43	[55 -57 ]:																																																								1	1	
V25->V44	[56 -58 ]:																																																									1	1	
V41->V45	[58 -60 ]:																																																											1	1	
V25->V46	[59 -61 ]:																																																												1	1	
V25->V47	[59 -61 ]:																																																												1	1	
V41->V48	[59 -61 ]:																																																												1	1	
V25->V49	[59 -61 ]:																																																												1	1	
V41->V50	[60 -130]:																																																													1	1	4	3	2	3	6	3	5	5	7	13	15	23	20	23	10	17	12	23	24	29	35	31	33	28	29	39	42	38	38	39	46	36	43	36	48	33	36	40	46	41	52	47	57	60	71	70	68	65	58	58	55	66	58	65	55	57	49	48	37	39	32	39	37	41	38	48	36	40	
V25->V51	[61 -63 ]:																																																														1	1	
V25->V52	[63 -66 ]:																																																																1	1	1	
V41->V53	[63 -65 ]:																																																																1	1	
V25->V54	[63 -65 ]:																																																																1	1	
V41->V55	[63 -66 ]:																																																																1	1	1	
V25->V56	[63 -65 ]:																																																																1	1	
V25->V57	[70 -74 ]:																																																																							1	1	1	1	
V41->V58	[70 -72 ]:																																																																							1	1	
V25->V59	[74 -82 ]:																																																																											1	1	3	4	4	3	3	1	
V50->V60	[75 -77 ]:																																																																												1	1	
V41->V61	[81 -83 ]:																																																																																		1	1	
V50->V62	[83 -86 ]:																																																																																				1	1	1	
V41->V63	[83 -85 ]:																																																																																				1	1	
V41->V64	[84 -130]:																																																																																					1	1	9	17	22	30	32	37	35	40	28	33	22	38	30	34	28	33	24	28	23	30	25	33	29	39	34	43	34	40	34	45	38	47	39	46	34	42	35	40	32	33	32	31	30	31	
V41->V65	[84 -86 ]:																																																																																					1	1	
V25->V66	[85 -87 ]:																																																																																						1	1	
V64->V67	[90 -92 ]:																																																																																											1	1	
V50->V68	[91 -106]:																																																																																												1	1	3	7	4	4	2	4	3	4	6	7	2	5	5	
V64->V69	[94 -96 ]:																																																																																															1	1	
V50->V70	[95 -99 ]:																																																																																																1	1	1	1	
V64->V71	[95 -97 ]:																																																																																																1	1	
V50->V72	[95 -97 ]:																																																																																																1	1	
V64->V73	[98 -100]:																																																																																																			1	1	
V50->V74	[99 -102]:																																																																																																				1	1	1	
V64->V75	[100-104]:																																																																																																					1	1	1	1	
V41->V76	[101-103]:																																																																																																						1	1	
V25->V77	[101-104]:																																																																																																						1	1	2	
V64->V78	[102-107]:																																																																																																							1	1	2	2	1	
V64->V79	[102-104]:																																																																																																							1	1	
V50->V80	[103-105]:																																																																																																								1	1	
V50->V81	[104-106]:																																																																																																									1	1	
V50->V82	[113-115]:																																																																																																																		1	1	
V50->V83	[116-118]:																																																																																																																					1	1	
V64->V84	[116-129]:																																																																																																																					1	1	1	1	1	1	1	1	1	1	1	1	1	
V41->V85	[119-121]:																																																																																																																								1	1	
V50->V86	[120-122]:																																																																																																																									1	1	
V50->V87	[120-122]:																																																																																																																									1	1	
V50->V88	[122-124]:																																																																																																																											1	1	
V41->V89	[123-130]:																																																																																																																												1	1	4	4	4	4	7	
V0	0.5       00000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100100000000101101000000100
V1	0.58246   00100000000001000000000000010001000000100100000000100000000000000100000000010000000000000000000000000100110000000001101000000110
V2	0.42977   00010000000000000000000010000000000000000100000000000000001101010000000000001001100000001100000000000110000000000101101000010101
V3	0.596561  00100000000001000000000000010001001100100100000000100100000000000100001000010001010000001000000001000100011000000010100000001110
V4	0.675975  00110000000001000000000100010001000001100100000000100000010001000110001010010000000100000000000000000100110111000001001000000110
V5	0.746912  00110000000001000000010100110001000001001110000000100000010001010010001010110100000100000000000000000000111111001001001000110010
V6	0.6015    00110001000011001000000110000101000100110100010000100000011011000110101010110000000100000001000000001100000111000001001011000110
V7	0.60835   00110000000001000001000100010001000101100110000000100000010011000011101110010001000100100000100000000100101111000001100000010110
V8	0.725267  00111000000001000001000000100001000001001110001000100000011001010110001010010100000000000010100000110000111111001001011000100010
V9	0.709533  00110000010001000010010000100101000000101100010100100000010001010010011010110100100100000010000010000000111100001001001000111110
V10	0.667388  01110001110001000000010100000001000001001111000100101000010001010010001010100010000110100000010000000000111111001000101010010010
V11	0.556649  10010001000011001010000111000101000110010101010000100000011011000110111110110010100100000000000000011110000111000001001001000110
V12	0.734312  00011000000000000000010100110001100001000110100000100000010001000010001010110100001000000000100000000010101011001101011000001010
V13	0.682598  00110011000011001000101110001101000000110100011000100001001001010110101010110000000100000001000000001100001111000001001111000110
V14	0.846055  10101000000011000001010111110001100111101110000000101100010101010010000110110100000000000000000001000001111111001001001001110010
V15	0.722568  00010000000010000000000100110001100001110110000000100000010101000011101010110100101100000000001000000010111111000101011100001010
V16	0.849422  10101101000011000011010101110001100111101110010000111100010101000010001100110100000011010100000101000001111111001000001000100000
V17	0.769651  10101100010011010001011110110001100111100110000000101100010111010010000010110111000000000001000001000001110110011001001001010000
V18	0.943099  10101000000011000001000111110001101101111110000000101100010101010010010010110100000000000000001001000001111101010001001001100001
V19	0.805375  10101111000001000011010101100000100111111111011010111100010100000010001101110100000011000110000111010001111111001000001000100000
V20	0.94919   11101101001010000011110111010001100111101110010000111100010101000010001100110100000011011100010101000001111101011000001010110000
V21	0.801282  10101101000011010011000101110001100011101110010000101100010101000110000100110110000010011100000100000101101111001001001000101000
V22	0.85043   00111000000011010001000111110000001100111110010000101100010101010010110010010100001000010000011000000001111101010001001001100001
V23	0.987018  11001101001010000001110100000000110111100110010000101100110111000010001100110100001011011010010001100101111101011100001010110000
V24	0.96904   11101101001011001011110100010101100111001111010001111110010101000011001001110100000011011100110101010001110100101000001010100000
V25	1         01001111001010000001100110010100110110000110010000101100110100001000100100110100111011111010010001100101100101011100001110110000
V26	0.922893  01001101001010000001110100000000110110100110010100111010111111010010001101110100001011011011010001100101111001001100001010010001
V27	0.981124  10001101001010000001010100001000010111100110010000111100111111001010001000110100011011011110000100101101111101010100101010110000
V28	0.895359  11001101011111000001100100000100110111100111010000101100110111000010001100110001001011010000010001100101111101011100001110100011
V29	1         01001111000011100001100101010100010111000110010100101100110100001010101000110100111111110011010001100101100111011100001110110000
V30	0.935541  11001111101010000001100101110100010010000110110000111000110101001010100110010110111011111010011001101101100101001100011110010000
V31	0.97676   11011111001010001001110111001000110100000111011000111100110101101000101100010100111001111010010001100101100101011000001110110000
V32	0.992948  01001111001010100001100010010110110110001110000000101100010100000000110100000100111001011010010001001101100101011100001010111000
V33	0.957474  00001111001010000001100010010100110110010110110100101110110100001001110100110000111011111010010011100101100100001100001110110000
V34	0.943004  01001111001010000001100110000100110110001110011000100100100000001000000100110100111010111011010011110101101101111100001111110010
V35	0.961773  01001111101010110001101010010110110110100000000000100100110100000010110100000100111011000010010001011000100100011100001010111110
V36	1         01001111001010000011100010010100010110000111010000101010011100011000100100110100011011111010010001100001000101001000001110010011
V37	0.958744  01101110000010000101100111010110010110010111010010101100111101000000100000110000111011111010010001100101100101011100001110010000
V38	0.90232   01101111011010000101100010010100111110100111110000101100110100001000100101110100111011111110001011000100101101011100001010110010
V39	0.965167  01000111000010001001100110010100110101000110010000101100110110001000000100110100110011011010010000100111101101001100000110110001
V40	1         01001111001001000001101110000100100010000110010100101111010100001000100100110110011011011000010101000001100101111100101110110100
V41	1         01111111001010000001100111010100110110100110010000001100100110001010101100110100111011111010010011100100100101011100101110110000
V42	0.946341  01100111001010000001111110010100111110010110010000101100100100001000100101110000111011111010010001100101101101011100000110110101
V43	0.988981  01001111011011000101100110010100110111000110111001101111110000101000100100110110011010111010001001100101100100011101001110000000
V44	0.977184  11001101001010100000100110010101111110100110010000101100110100001100110100100110111010110010100000100101100101011000001000110000
V45	1         11111111000010000000100111010100010110100111010000101110100100001010100100110100111011111110010011100100100000001100101110110000
V46	1         01001111001000010001100110010100111100000110110010101100110100111000100101111101111010011010110001100101100101011101011110110000
V47	0.938948  01001111011010000101100011000110010110000100010100100110110100001100100111110101111010110010110001100101110101011100011110110000
V48	0.913043  01111111001010000001100111010101010111100000011000001100100110001010101000010110111010111010010011000100100101011000111010110000
V49	0.928571  01001110000011000001101110010101111110000110000000100100110100011000100100110000111011101010010001100101100101011100001110110100
V50	1         01111111101000000001110111011100110010100110010000000001100110011010101000100100111011111010010001100110100101011100101110110000
V51	0.981407  01001001011010000101100110010110110110000110010000101100110100001000100101110000110011111010010001100101000001011100111110110000
V52	0.912979  11001110001011100001101100011100110110100000011000100101111100001000000101110110111011011000010001110101100101011100001110110000
V53	0.906472  01111111001010000001100111000110110011110110010000001100100010001000011100110100111001111010010011100100100101111101111110110000
V54	0.910333  01001111001010000001100110010110110110001110010000111001111110101000100100111100011011110010010000100101101111011100011100110000
V55	1         00111111001010010101100111010000110110100010010000001000000110001011101100110100111011101010010011000110110101011000101110110000
V56	1         01001111001010000001110000101100110110001110010000101100110100000001100101110100111001111000010001110101000101011110001110110000
V57	1         01001111001110000000100111010100010110000110010000101101110100000000000101100100111001111010010001000111100101011100001101110000
V58	0.977515  01011111001010000001110111010101011110101110011000001000100100001000001100110001110011111110010111100100100001011100001110100000
V59	1         01000111001000000001100100111101110100001110010000101110110000001000100100110100111011111010010000001111100101111110001111110000
V60	0.939732  01111111001110000001110011011110111010000110011000001011101010011010101001000100111011111010010101100110100101001100001110100000
V61	0.982607  01111111101010000001000011010100010110101110010000001100100100001110101100110101111011110110010111100100100101011110101110101010
