Best Fitness: 12386.1
Epidemic Profile
NA-->V0 	[0  -8  ]:	1	3	9	32	79	86	14	1	
V0 ->V1 	[3  -13 ]:				1	1	6	20	37	107	66	6	2	1	
V0 ->V2 	[5  -16 ]:						1	1	2	6	15	43	114	66	5	2	1	
V1 ->V3 	[7  -23 ]:								1	1	1	4	5	5	23	53	27	14	11	3	2	5	1	1	
V2 ->V4 	[10 -26 ]:											1	1	2	13	47	79	56	19	3	3	5	3	3	2	1	1	
V2 ->V5 	[10 -23 ]:											1	1	1	1	3	1	2	3	2	3	3	3	1	
V4 ->V6 	[13 -23 ]:														1	1	8	25	75	96	78	65	32	4	
V4 ->V7 	[14 -23 ]:															1	1	2	4	2	1	1	2	1	
V3 ->V8 	[15 -18 ]:																1	1	1	
V4 ->V9 	[15 -17 ]:																1	1	
V6 ->V10	[17 -35 ]:																		1	1	2	9	17	16	4	9	12	14	27	48	50	26	7	2	1	1	
V6 ->V11	[17 -34 ]:																		1	1	3	14	47	106	94	71	72	79	64	50	52	64	55	19	1	
V6 ->V12	[17 -22 ]:																		1	1	3	2	2	
V6 ->V13	[20 -22 ]:																					1	1	
V11->V14	[20 -32 ]:																					1	1	1	2	10	13	16	13	8	4	3	2	
V11->V15	[22 -29 ]:																							1	1	2	5	4	2	1	
V11->V16	[22 -28 ]:																							1	1	2	5	4	1	
V11->V17	[24 -26 ]:																									1	1	
V11->V18	[27 -37 ]:																												1	1	3	21	54	99	103	76	21	2	
V18->V19	[31 -41 ]:																																1	1	4	14	61	76	34	7	1	1	
V18->V20	[31 -37 ]:																																1	1	7	21	29	8	
V18->V21	[32 -35 ]:																																	1	1	1	
V19->V22	[33 -42 ]:																																		1	1	9	36	87	102	62	22	3	
V22->V23	[35 -37 ]:																																				1	1	
V19->V24	[35 -37 ]:																																				1	1	
V19->V25	[35 -44 ]:																																				1	1	4	17	47	93	79	25	1	
V22->V26	[38 -41 ]:																																							1	1	1	
V25->V27	[38 -47 ]:																																							1	1	6	25	83	121	93	41	6	
V22->V28	[38 -45 ]:																																							1	1	5	12	11	2	1	
V27->V29	[41 -52 ]:																																										1	1	5	19	72	126	102	118	74	37	5	
V27->V30	[43 -45 ]:																																												1	1	
V29->V31	[46 -48 ]:																																															1	1	
V29->V32	[46 -53 ]:																																															1	1	4	27	62	18	2	
V29->V33	[47 -54 ]:																																																1	1	4	17	21	10	1	
V29->V34	[47 -49 ]:																																																1	1	
V29->V35	[47 -50 ]:																																																1	1	1	
V29->V36	[47 -130]:																																																1	1	6	23	69	125	115	130	111	130	112	127	109	128	110	117	106	99	96	105	88	90	74	81	71	86	89	103	88	103	86	76	74	87	73	68	62	59	61	61	58	59	47	42	44	36	35	32	33	25	30	37	33	32	26	35	37	42	42	46	42	47	49	50	46	44	43	39	34	41	32	30	25	27	27	28	26	32	33	33	30	28	25	
V36->V37	[50 -52 ]:																																																			1	1	
V36->V38	[51 -53 ]:																																																				1	1	
V36->V39	[52 -54 ]:																																																					1	1	
V36->V40	[53 -56 ]:																																																						1	1	1	
V36->V41	[55 -59 ]:																																																								1	1	2	3	
V36->V42	[58 -69 ]:																																																											1	1	3	5	9	10	13	10	6	4	1	
V36->V43	[62 -130]:																																																															1	1	2	10	8	8	4	10	5	11	8	10	9	12	10	18	17	15	17	22	29	36	37	34	29	33	30	40	39	46	55	60	62	68	73	73	58	61	63	71	65	66	56	57	45	53	44	50	37	42	34	42	41	45	31	38	37	50	52	52	51	61	65	65	68	68	66	58	
V36->V44	[62 -130]:																																																															1	1	3	5	11	22	32	32	35	35	29	21	18	15	13	16	32	26	26	23	28	29	32	27	35	25	26	26	34	27	35	30	30	27	23	23	29	33	31	28	25	24	24	32	32	35	29	31	33	39	36	43	43	48	53	55	55	51	49	47	50	39	31	28	27	26	33	39	
V43->V45	[63 -65 ]:																																																																1	1	
V43->V46	[66 -68 ]:																																																																			1	1	
V44->V47	[67 -74 ]:																																																																				1	1	6	8	5	3	2	
V36->V48	[67 -73 ]:																																																																				1	1	2	1	2	3	
V47->V49	[73 -75 ]:																																																																										1	1	
V36->V50	[74 -77 ]:																																																																											1	1	1	
V36->V51	[75 -78 ]:																																																																												1	1	1	
V36->V52	[76 -79 ]:																																																																													1	1	1	
V36->V53	[78 -80 ]:																																																																															1	1	
V36->V54	[78 -80 ]:																																																																															1	1	
V36->V55	[80 -82 ]:																																																																																	1	1	
V36->V56	[80 -82 ]:																																																																																	1	1	
V44->V57	[80 -82 ]:																																																																																	1	1	
V44->V58	[81 -83 ]:																																																																																		1	1	
V36->V59	[81 -83 ]:																																																																																		1	1	
V44->V60	[84 -92 ]:																																																																																					1	1	4	6	14	10	9	5	
V36->V61	[84 -86 ]:																																																																																					1	1	
V36->V62	[84 -86 ]:																																																																																					1	1	
V43->V63	[84 -86 ]:																																																																																					1	1	
V36->V64	[86 -88 ]:																																																																																							1	1	
V44->V65	[86 -88 ]:																																																																																							1	1	
V44->V66	[87 -92 ]:																																																																																								1	1	1	1	1	
V36->V67	[88 -94 ]:																																																																																									1	1	3	3	1	2	
V36->V68	[89 -91 ]:																																																																																										1	1	
V36->V69	[89 -91 ]:																																																																																										1	1	
V43->V70	[95 -98 ]:																																																																																																1	1	2	
V43->V71	[96 -98 ]:																																																																																																	1	1	
V36->V72	[99 -102]:																																																																																																				1	1	1	
V44->V73	[99 -101]:																																																																																																				1	1	
V43->V74	[101-103]:																																																																																																						1	1	
V44->V75	[103-108]:																																																																																																								1	1	1	1	2	
V43->V76	[103-105]:																																																																																																								1	1	
V43->V77	[107-110]:																																																																																																												1	1	2	
V36->V78	[107-109]:																																																																																																												1	1	
V36->V79	[109-115]:																																																																																																														1	1	5	5	2	1	
V43->V80	[110-113]:																																																																																																															1	1	2	
V44->V81	[112-114]:																																																																																																																	1	1	
V44->V82	[114-116]:																																																																																																																			1	1	
V36->V83	[115-119]:																																																																																																																				1	1	3	4	
V44->V84	[117-119]:																																																																																																																						1	1	
V36->V85	[121-123]:																																																																																																																										1	1	
V44->V86	[123-125]:																																																																																																																												1	1	
V43->V87	[126-130]:																																																																																																																															1	1	2	1	
V43->V88	[127-130]:																																																																																																																																1	1	2	
V0	0.5       00100000000100000000000000000000000000000000001000000001000000000000000010000100000000000000000000000000000000000000001000000010
V1	0.562363  01110000000101000000000101000000000000000000001000100001010001000001000010000100001000000000000000000000000000001000001000001010
V2	0.581334  00100000000100001000000000000000010000000010001010000001010000000111100010001100100000000000000000000001000001000010001000001010
V3	0.51595   00010100000101000110101110000010010001000001001000100101010001000001000010000100001001000000001000001010000000001000001000001110
V4	0.572396  00000100001110011000000100100000010000000010000011000001000100000111100010101100100000000000001000010001000001000010101000001010
V5	0.487937  00100000000100001000000000000000010000001110001010010001000100001011100010001100101000001000000010100111100101000010111010011010
V6	0.594057  00000101001110011101000100000000110000000010000011010101000100000111000010101000100100000000001000010001001001001010101000001010
V7	0.580915  00000100001110011000101100100000010001000010000011001001000111011111000010101111110010000000001011010001000001000110100000001111
V8	0.491083  00010100011101000110101110000010010001010011101101100101010001000001100010000100001001100000001100001000010001100000111000001110
V9	0.516666  00001100001110010000000100100000010000000010000111000011000110000111000110101110100000100010001000010001000001000011101100001010
V10	0.643298  00000101001110010100000110000000110001000110000011000101100100000111000011101000110100000010001010000001001001001010101010001010
V11	0.655289  00000001000100011101000100000000110000001010000000010101100100000111001010101000100110000000101000011001001001001010101000101000
V12	0.530463  10001101001110011001100101100000110000011010000001010001000100000111100010101000100100010000001010010001001001001010101001000010
V13	0.621969  00000101001100011101100000000000100000010010000011011101000100001111000110101000000100000000001000010011101000001010101000000010
V14	0.600984  00000001000100011101000100000000110010011011100000010101101110000111001011101001100111000000111000011001001011101011101000101001
V15	0.624867  10000001000100111101000100100000110010001001000000110101100000000101001010100001100110001000100000011000111001000010100000101100
V16	0.55971   00000001000000001101000101010000110000001110000000010101000100000011001010101000110110000101101000011001001101001010000000101000
V17	0.62464   01000001000100011100010100001000100000101011010100010101100100011100001010001001100110000000101000011001001001001010100000100000
V18	0.676466  10100001000000010001000100100000110000011010000001010101110100000111001010101000000110000000101000011001011001001110101000101000
V19	0.770908  00100001100100010001010100100010110000011010000001010101110100000100011010011001001110001010101000011001011001001100101000101001
V20	0.69449   10100000101000111001011100100010110000011010100101010101110100010111001010111000100110001100101100011001011001001000101000100000
V21	0.599589  10100011000000011001010110100000110110001010000001010111110100000111011010101000000110000000100001001001011101001010101000101010
V22	0.79283   00100001110101010101110100100010110000011010000001000100110000000000011010000001001110011011101000011011011001011100101001101001
V23	0.714769  00100001100000010001100100100110100000011010000001000000000010000000010010001001011110010011101000011001001101111110101001101001
V24	0.791217  00100000100100010001011100101010100001111000000001011101110111000100111010011011001100001010101011111001011000001100101000101001
V25	0.827283  00000001000100010001010110101000110000011010000001011101111100100100011011011001001110010010101000011001011001001100101000001001
V26	0.823063  10100001111100010111100111100000111000011111000001000100110110000000011010100011001110011011110000011011010001011000101001101001
V27	0.907486  00000001000100010001000010001000110000011010000001011101111100100100010000111001001111010010011000001001011000001100111000011000
V28	0.883429  00100001110101010111110100000011110011010010100001000000111000000000011010000001001110011011101000011011111001001110001011101011
V29	0.935366  00010001010100010011000010010000110010011010101000011001111110100100010000110000001011110010011000001101010010000100111000111000
V30	0.819469  00000000000000010001000010001000110100010010000001011101111101100100110010101001011011010010011010001011011000001100111000011000
V31	0.860155  00010001010000010101100010010000010010011010100000111011111110110000010000110000000111000010011000001101100010001100111000111001
V32	0.945312  00011101110100010101000010110110110010011010101000001001111111100100010100110100000011110010011000001101010010000100011000111001
V33	0.98408   00010010010110011011000010010000110010010010101000011101110110100110010000111100001011111000011000001101010010000100110000111000
V34	0.934585  00010001010111110010000010010010100010011000100000011001111110100101010000110000001011100010011000011101010010000100111000111001
V35	0.836007  10011001011100110011100010010000000010110010101011011001101100000100010000110000101011110010010000001101010100000100111101111000
V36	1         00010000010110011111010110010010110010011010101000011001011110100100010000111000001011111010011000001101011110000101111010011000
V37	0.961535  00010000010110011011010010010010110011111010101001011001010110100100010000111000000011111011010000011101001110000101011011011000
V38	1         00110001010110011111010011010010110010111010101010010001111110100100010000111000001011011001001000001101011110000101111010011000
V39	1         10010000010110011011010110010010110010010010101000011001001110110100010110111100001011101110011000011111011101000100001010011000
